title,company,location,salary,category,timestamp,industryCode,industry
Sales Account Manager,Drake International Inc,"Milton, ON",$50 an hour,Account Manager,2022-12-09 21:15:44 UTC,104.0,staffing / recruiting
Sales Account Manager - Bilingual,Drake International Inc,"Ottawa, ON",$50 an hour,Account Manager,2023-01-07 18:52:34 UTC,104.0,staffing / recruiting
Data Analyst,Drake International Inc,"Remote in Toronto, ON",$40–$50 an hourFull-time +1Monday to Friday,Data Analyst,2023-01-13 15:24:44 UTC,104.0,staffing / recruiting
Legal Assistant - Property,Drake International Inc,"Dartmouth, NS","$35,000–$65,000 a year",New Grad,2022-06-22 04:30:11 UTC,104.0,staffing / recruiting
Accounting and Financial Analysts - Health Care,Drake International Inc,"Toronto, ON",$35 an hourFull-time +1Monday to Friday,Financial Analyst,2023-01-30 15:36:39 UTC,104.0,staffing / recruiting
Harvest Lab Intern,DIAMOND ESTATES WINES & SPIRITS,"Niagara-on-the-Lake, ON",$16–$18 an hour,New Grad,2022-06-27 18:00:14 UTC,23.0,food production
Financial Analyst,Department of Justice Canada,"Hybrid remote in Edmonton, AB","$59,211–$83,062 a yearOvertime",Financial Analyst,2022-11-30 05:45:43 UTC,69.0,education management
"Manager, Business Analytics Centre",Department of Justice Canada,"Ottawa, ON","$113,124–$129,869 a year",Data Scientist,2022-06-10 23:30:17 UTC,69.0,education management
database analyst,Delbridge Solutions Inc.,"Remote in Concord, ON","$62,800 a yearPermanent +2",Data Analyst,2022-12-17 05:46:33 UTC,96.0,information technology / services
"Creaform - Stagiaire, administration (h/f/nb)",Creaform Inc,"Remote in Lévis, QC",$19–$22 an hourPart-time +28 hour shift +1,Intern,2022-11-15 13:31:38 UTC,135.0,mechanical/ industrial engineering
Automation Control Engineer,CPK Interior Products Inc,"Port Hope, ON",Estimated at $74.5K–$94.4K a yearPermanent +1,Electrical Engineer,2023-01-23 20:35:14 UTC,53.0,automotive
Process Engineer - Injection molding (Port Hope Location),CPK Interior Products Inc,"Oshawa, ON",Estimated at $67.9K–$85.9K a yearFull-time8 hour shift +3,Process Engineer,2022-09-21 17:47:09 UTC,53.0,automotive
Software Engineer,Cox Automotive,"Milton, ON","$48,017–$127,030 a yearFull-time8 hour shift",Software Developer,2022-07-21 20:00:52 UTC,53.0,automotive
Implementation Consultant Co-Op,Copperleaf Technologies Inc.,Remote,Estimated at $85.4K–$108K a yearInternship / Co-op,Intern,2023-01-07 16:00:34 UTC,4.0,computer software
Application Developer,Constellation Software,"Markham, ON","From $80,000 a year","Full Stack Developer, Software Developer",2022-06-10 16:00:13 UTC,96.0,information technology / services
Regional Account Manager (Security Operations),Commissionaires,"Hamilton, ON","$50,000 a year",Account Manager,2022-06-28 18:30:25 UTC,4.0,computer software
Co-Op Manager,COHO Management and Services Society,"Vancouver, BC","$3,944–$5,041 a monthPermanent +1No weekends +1",Intern,2023-01-10 18:39:00 UTC,100.0,nonprofit/ganization management
Co-Op Manager,COHO Management and Services Society,"Vancouver, BC","$3,944–$5,041 a monthPermanent +1No weekends +1",Intern,2022-10-04 00:32:48 UTC,100.0,nonprofit/ganization management
Co-Op Manager,COHO Management and Services Society,"Vancouver, BC","$3,944–$5,041 a monthPermanent +1No weekends +1",Intern,2022-11-01 22:32:57 UTC,100.0,nonprofit/ganization management
Co-Op Manager,COHO Management and Services Society,"Vancouver, BC","$3,867–$4,942 a monthFull-timeEvening shift",Intern,2022-06-16 15:00:13 UTC,100.0,nonprofit/ganization management
Co-Op Manager,COHO Management and Services Society,"Vancouver, BC","$3,773–$4,942 a month",Intern,2022-07-09 14:00:21 UTC,100.0,nonprofit/ganization management
Costing Analyst(Financial Analyst),"COFOMO, Inc","Ottawa, ON",Estimated at $68.7K–$86.9K a yearPermanent +1,Financial Analyst,2022-10-19 01:30:48 UTC,96.0,information technology / services
Human Resources Intern,Coast2Coast First Aid & Aquatics Inc.,"Thornhill, ON",Estimated at $32.3K–$40.9K a yearFull-time +1Day shift,Intern,2023-01-13 18:46:00 UTC,69.0,education management
IT Support Specialist (Winter CO-OP),CLV Group Inc.,"Ottawa, ON",Estimated at $51.3K–$64.9K a yearFull-time +1On call,Intern,2022-10-20 01:35:14 UTC,44.0,real estate
Legal Assistant,CLV Group Inc.,"Ottawa, ON",Estimated at $41.9K–$53K a year,New Grad,2022-11-23 17:37:17 UTC,44.0,real estate
Account Manager,ClaimSecure,"Mississauga, ON","$65,000–$70,000 a yearPermanent +18 hour shift +3",Account Manager,2022-11-01 20:02:05 UTC,42.0,insurance
Web Developer,ClaimSecure,Temporarily Remote in Ontario,"$54,000–$60,000 a yearFull-timeDay shift","Web Developer, Frontend Developer",2022-06-22 22:30:11 UTC,42.0,insurance
Data & Reporting Analyst,ClaimSecure,"Temporarily Remote in Mississauga, ON","$52,000–$56,000 a yearFull-time8 hour shift","Business Analyst, Data Analyst",2022-07-25 23:30:19 UTC,42.0,insurance
Data & Reporting Analyst,ClaimSecure,Remote,"$52,000–$56,000 a yearFull-time +18 hour shift +2",Business Analyst,2022-12-01 23:22:40 UTC,42.0,insurance
Accounting Analyst,City of Belleville,"Belleville, ON",$28.32–$33.19 an hourFull-time,Financial Analyst,2022-06-14 03:00:29 UTC,75.0,government administration
Aquatics Programmer,City of Belleville,"Belleville, ON",$18.05 an hourFull-time +18 hour shift +1,Software Developer,2022-07-21 20:00:26 UTC,75.0,government administration
Account Manager/Sales Representative,Champion Products,"Toronto, ON","$40,000–$75,000 a yearFull-time8 hour shift +1",Account Manager,2022-11-10 13:51:44 UTC,133.0,wholesale
Project Coordinator,Century Group Inc.,"Victoria, BC",Estimated at $50.1K–$63.5K a yearFull-timeMonday to Friday,Project Coordinator,2023-01-19 19:45:19 UTC,104.0,staffing / recruiting
Project Administrator,Century Group Inc.,"Victoria, BC",Estimated at $41.3K–$52.3K a yearFull-time +1Monday to Friday,Project Coordinator,2023-02-01 19:01:52 UTC,104.0,staffing / recruiting
Senior Financial Analyst,Century Group Inc.,"New Westminster, BC",Estimated at $63.9K–$80.9K a yearFull-time,Financial Analyst,2022-12-15 21:46:12 UTC,104.0,staffing / recruiting
Senior Financial Analyst,Century Group Inc.,"New Westminster, BC",Estimated at $63.9K–$80.9K a yearFull-time,Financial Analyst,2022-12-30 14:16:39 UTC,104.0,staffing / recruiting
Senior Financial Analyst,Century Group Inc.,"New Westminster, BC",Estimated at $63.9K–$80.9K a yearFull-time,Financial Analyst,2023-01-14 21:48:05 UTC,104.0,staffing / recruiting
Operations Summer Student (Labourer),Central Alberta Co-op Ltd.,"Lacombe, AB",Estimated at $35.1K–$44.5K a yearPart-time +1Weekend availability,Intern,2023-01-13 18:50:34 UTC,27.0,retail
Credit Support Analyst,Caterpillar,"Burlington, ON",Estimated at $49.5K–$62.7K a yearFull-time,Financial Analyst,2022-11-08 22:32:46 UTC,43.0,financial services
Operator,Cargojet Airways Ltd.,"Moncton, NB",Estimated at $31K–$39.2K a yearFull-timeWeekend availability +1,New Grad,2022-10-21 00:34:10 UTC,94.0,airlines/aviation
Operator,Cargojet Airways Ltd.,"Halifax, NS",Estimated at $27.7K–$35.1K a yearFull-timeWeekend availability +1,New Grad,2023-02-01 17:36:38 UTC,94.0,airlines/aviation
Operator,Cargojet Airways Ltd.,"Edmonton, AB",$17–$35 an hour,New Grad,2022-05-31 23:00:36 UTC,94.0,airlines/aviation
"developer, software",Cargojet Airways Ltd.,"Mississauga, ON","$90,000–$115,000 a yearFull-time",Software Developer,2022-06-07 22:00:49 UTC,94.0,airlines/aviation
Wraparound Care Coordinator - High Priority Communities Prog...,Carefirst Seniors and Community Services...,"Toronto, ON","$66,000 a yearPart-time +1Evening shift",Project Coordinator,2022-06-27 20:30:23 UTC,124.0,health/ wellness / fitness
Food Security Program Coordinator - High Priority Communitie...,Carefirst Seniors and Community Services...,"Toronto, ON",Estimated $38.9K–$49.3K a yearPart-time +1Evening shift,Project Coordinator,2022-06-20 22:31:04 UTC,124.0,health/ wellness / fitness
Pathologist Assistant,Carecor Health Services,"Toronto, ON",Estimated at $64.8K–$82K a yearPermanent +1,New Grad,2022-10-26 19:02:46 UTC,104.0,staffing / recruiting
Personal Support Worker,Carecor Health Services,"Scarborough, ON",Estimated at $54.3K–$68.7K a year,New Grad,2022-11-01 17:31:14 UTC,104.0,staffing / recruiting
Personal Support Worker,Carecor Health Services,"Oakville, ON",Estimated at $51.2K–$64.8K a year,New Grad,2022-12-01 02:17:38 UTC,104.0,staffing / recruiting
Personal Support Worker,Carecor Health Services,"Markham, ON+1 location",Estimated at $50.3K–$63.7K a year,New Grad,2023-01-10 02:47:39 UTC,104.0,staffing / recruiting
Personal Support Worker,Carecor Health Services,"Toronto, ON+1 location",Estimated at $49.1K–$62.1K a year,New Grad,2023-01-31 19:05:54 UTC,104.0,staffing / recruiting
Personal Support Worker,Carecor Health Services,"Brampton, ON",Estimated at $48.8K–$61.8K a year12 hour shift,New Grad,2022-11-10 04:34:25 UTC,104.0,staffing / recruiting
Accounting Finance Intern,CANWEL BUILDING MATERIALS LTD,"Vancouver, BC",Estimated at $37.2K–$47.2K a yearTemporary +3,Intern,2022-09-30 03:04:11 UTC,49.0,building materials
Finance Intern,CANWEL BUILDING MATERIALS LTD,"Vancouver, BC",Estimated at $35.2K–$44.6K a yearFull-time +3,Intern,2022-11-25 19:03:57 UTC,49.0,building materials
Finance Intern,CANWEL BUILDING MATERIALS LTD,"Vancouver, BC",Estimated at $34.5K–$43.6K a yearPart-time +2,Intern,2023-01-30 23:04:43 UTC,49.0,building materials
Senior Full Stack Developer,Canadian Medical Protective Association,"Temporarily Remote in Ottawa, ON","$81,952–$114,733 a year","Full Stack Developer, Web Developer, Frontend Developer",2022-07-08 12:00:11 UTC,14.0,hospital / health care
Senior Full Stack Developer,Canadian Medical Protective Association,"Temporarily Remote in Ottawa, ON","$81,952–$114,733 a year",Frontend Developer,2022-06-14 22:00:16 UTC,14.0,hospital / health care
"Senior Specialist, Employee Well-being",Canadian Medical Protective Association,"Remote in Ottawa, ON","$81,952–$114,733 a year",New Grad,2022-06-08 06:00:26 UTC,14.0,hospital / health care
Registered Nurse Medical Analyst,Canadian Medical Protective Association,"Remote in Ottawa, ON","$70,305–$98,427 a yearFull-time",Data Analyst,2022-09-20 20:03:14 UTC,14.0,hospital / health care
Investment Analyst,Canadian Medical Protective Association,"Remote in Ottawa, ON","$70,305–$98,427 a yearFull-time",Investment Analyst,2022-09-18 20:31:11 UTC,14.0,hospital / health care
"Co-op Student, Strategic Engagement and Advocacy",Canadian Medical Protective Association,"Temporarily Remote in Ottawa, ON",$18–$22 an hour,Intern,2022-06-24 18:30:20 UTC,14.0,hospital / health care
Accounts Receivable Specialist (Paid Summer Internship),Canadian Linen and Uniform Service Corp,"Winnipeg, MB",$16 an hourTemporary +2,Intern,2022-06-28 23:30:19 UTC,88.0,individual / family services
Inventory Planning Analyst,Canadian Bearings Ltd.,"Mississauga, ON","$65,000–$70,000 a yearPermanent +1Monday to Friday",Data Analyst,2022-09-27 19:48:09 UTC,147.0,industrial automation
Regional Electrical/Electronic Engineering Officer (Automations & Controls) Anticipatory,Canada Post - Postes Canada,"Mississauga, ON",Estimated at $91.3K–$116K a yearPermanent +1,Electrical Engineer,2023-01-25 01:04:39 UTC,87.0,package/freight delivery
"Officer, Regional Electrical/Electronic Engineering (Automat...",Canada Post - Postes Canada,"Mississauga, ON",Estimated at $91.3K–$116K a yearPermanent +1,Electrical Engineer,2022-11-01 17:48:17 UTC,87.0,package/freight delivery
"Analyst , Process Engineering",Canada Post - Postes Canada,"Calgary, AB",Estimated at $89.1K–$113K a yearFull-time,Process Engineer,2022-12-28 16:45:37 UTC,87.0,package/freight delivery
"Officer, Staffing Policies and Programs",Canada Post - Postes Canada,"Remote in Ottawa, ON",Estimated at $87.1K–$110K a yearTemporary,New Grad,2022-12-14 22:47:34 UTC,87.0,package/freight delivery
"Manager, Process Engineering",Canada Post - Postes Canada,"Toronto, ON",Estimated at $84.7K–$107K a yearPermanent +1,Process Engineer,2023-01-12 05:15:58 UTC,87.0,package/freight delivery
"Analyst , Process Engineering",Canada Post - Postes Canada,"Barrie, ON+1 location",Estimated at $80.7K–$102K a yearFull-time +1,Process Engineer,2022-12-09 15:18:53 UTC,87.0,package/freight delivery
"Officer, Process Excellence",Canada Post - Postes Canada,"Ottawa, ON",Estimated at $77K–$97.5K a yearPermanent +1,Process Engineer,2023-01-17 02:45:34 UTC,87.0,package/freight delivery
"Analyst, Process Engineering",Canada Post - Postes Canada,"Ottawa, ON",Estimated at $77.1K–$97.7K a yearFull-time,Process Engineer,2022-07-25 18:00:10 UTC,87.0,package/freight delivery
"Analyst, Process Engineering",Canada Post - Postes Canada,"Ottawa, ON+2 locations",Estimated at $76.4K–$96.8K a yearPermanent +1,Process Engineer,2022-12-09 21:38:20 UTC,87.0,package/freight delivery
"Manager, Security Awareness Training Exercise and Education",Canada Post - Postes Canada,"Montréal, QC",Estimated at $76.3K–$96.5K a yearPermanent +1,New Grad,2022-10-26 09:47:21 UTC,87.0,package/freight delivery
"Analyst , Process Engineering",Canada Post - Postes Canada,"Vancouver, BC",Estimated at $75.4K–$95.4K a yearPermanent +1,Process Engineer,2023-02-01 02:46:21 UTC,87.0,package/freight delivery
"Analyst , Process Engineering",Canada Post - Postes Canada,"Mississauga, ON",Estimated at $73.8K–$93.4K a yearTemporary +1,"Data Analyst, Process Engineer",2023-01-05 17:01:00 UTC,87.0,package/freight delivery
"Officer, Regional Electrical Engineering (Automations & Cont...",Canada Post - Postes Canada,"Mississauga, ON",Estimated at $69.3K–$87.7K a yearFull-timeWeekend availability +3,Electrical Engineer,2022-09-28 22:16:48 UTC,87.0,package/freight delivery
"Engineering Co-op Student, Process engineering",Canada Post - Postes Canada,"Montréal, QC",Estimated at $57.8K–$73.2K a yearFull-time +1,"Process Engineer, Intern",2022-10-24 18:15:46 UTC,87.0,package/freight delivery
"Analyst, Operations Data Integrity (Hours)",Canada Post - Postes Canada,"Scarborough, ON",Estimated at $53.4K–$67.6K a yearPermanent +1,"Business Analyst, Data Analyst",2023-01-20 19:51:26 UTC,87.0,package/freight delivery
Vehicle Mechanic,Canada Post - Postes Canada,"Quebec City, QC",Estimated at $51.6K–$65.3K a yearFull-time +1,New Grad,2022-11-08 21:03:13 UTC,87.0,package/freight delivery
"Analyst, Operations Data Integrity (Volume)",Canada Post - Postes Canada,"Scarborough, ON",Estimated at $49.6K–$62.8K a yearPermanent +112 hour shift +1,"Business Analyst, Data Analyst, Risk Analyst",2023-01-20 19:48:43 UTC,87.0,package/freight delivery
"Analyst, Accounts Payable Support",Canada Post - Postes Canada,"Ottawa, ON",Estimated at $46.7K–$59.1K a yearPermanent +1,Risk Analyst,2023-01-04 20:46:57 UTC,87.0,package/freight delivery
Engineering Co-op Student,Canada Post - Postes Canada,"Kitchener, ON+1 location",Estimated at $44.5K–$56.3K a yearInternship / Co-op,"Process Engineer, Intern",2022-10-24 18:15:53 UTC,87.0,package/freight delivery
Engineering Co-op Student,Canada Post - Postes Canada,"Hamilton, ON",Estimated at $44.2K–$56K a yearInternship / Co-op,"Process Engineer, Intern",2022-11-25 05:31:02 UTC,87.0,package/freight delivery
"Chef, Maintenance - quart 1",Canada Post - Postes Canada,"Toronto, ON",Estimated at $43.7K–$55.3K a yearPermanent +3,Intern,2022-10-19 00:04:51 UTC,87.0,package/freight delivery
"Chef, Maintenance - quart",Canada Post - Postes Canada,"Mississauga, ON",Estimated at $42.9K–$54.3K a yearPermanent +3,Intern,2022-10-24 20:33:15 UTC,87.0,package/freight delivery
"Chef, Maintenance - quart",Canada Post - Postes Canada,"Toronto, ON",Estimated at $37.2K–$47K a yearFull-time +1,Intern,2022-07-25 22:30:26 UTC,87.0,package/freight delivery
"Étudiant, Spécialiste en Recrutement (Stagiaire)",Canada Post - Postes Canada,"Montréal, QC",Estimated at $36K–$45.6K a yearInternship / Co-op,Intern,2022-10-21 19:04:45 UTC,87.0,package/freight delivery
Vehicle Mechanic,Canada Post - Postes Canada,"Halifax, NS",$33.95 an hourPermanent +1,New Grad,2023-01-12 13:07:00 UTC,87.0,package/freight delivery
Vehicle Mechanic,Canada Post - Postes Canada,"Halifax, NS",$33.95 an hourFull-time,New Grad,2022-06-15 19:00:56 UTC,87.0,package/freight delivery
Senior Account Manager,Calibre Sales Inc.,"Vaughan, ON","From $75,000 a yearFull-time8 hour shift",Account Manager,2022-07-21 12:30:16 UTC,27.0,retail
Projects & Field Services Proposal Manager,BWX Technologies,"Cambridge, ON",Estimated at $89.8K–$114K a year,New Grad,2022-11-17 22:38:17 UTC,1.0,defense / space
Project Coordinator - Schedule,BWX Technologies,"Port Elgin, ON",Estimated at $68.5K–$86.7K a year,Project Coordinator,2022-11-02 00:15:48 UTC,1.0,defense / space
Financial Analyst,BWX Technologies,"Cambridge, ON",Estimated at $65.9K–$83.5K a year,Financial Analyst,2022-11-17 23:31:08 UTC,1.0,defense / space
Project Coordinator,BWX Technologies,"Cambridge, ON",Estimated at $64.4K–$81.6K a year,Project Coordinator,2022-10-28 06:46:41 UTC,1.0,defense / space
